gID	S1	S2	S3	S4	S5
K16065	0.236111	0.638768	2.456007	0.612379	1.450485
K16063	0.337301	1.218115	0.980041	0.612379	0.847976
K16060	0.416005	0.505072	0.543155	0.319502	0.602509
K16061	0.078704	0.014855	0.118077	0.079876	0.022315
K07950	2.574732	2.629345	3.306164	1.943638	3.302643
K07951	2.743382	3.015577	5.041900	3.301522	8.725225
K07952	3.103170	12.448539	6.872098	6.922546	6.025091
K07953	45.434459	88.268760	59.097677	82.085418	93.232709
K07955	0.573412	1.871737	1.369696	1.491010	2.432352
K08789	0.191137	0.490217	0.566771	0.239627	0.602509
K08780	0.078704	0.103985	0.129885	0.079876	0.513249
K08781	0.056217	0.163406	0.094462	0.079876	0.066945
K08783	0.033730	0.074275	0.023615	0.026625	0.044630
K08784	0.044973	0.089130	0.106270	0.026625	0.111576
K08785	0.011243	0.014855	0.000000	0.000000	0.000000
K08787	0.000000	0.074275	0.035423	0.053250	0.066945
K10960	432.611152	473.683261	103.518349	420.358281	93.009557
K10967	2.136240	1.693477	2.928316	1.970263	2.030679
K10968	0.044973	0.059420	0.023615	0.000000	0.000000
K09879	0.067460	0.029710	0.129885	0.026625	0.178521
K09878	0.011243	0.014855	0.000000	0.000000	0.022315
K09873	0.438491	0.341666	0.507732	0.399378	0.624824
K09872	7.218244	4.917024	10.780455	6.629669	7.721043
K09874	4.396158	5.897458	4.664052	3.541148	4.239879
K09877	0.056217	0.044565	0.094462	0.079876	0.089261
K06316	5.936499	7.888036	11.477111	5.538037	8.725225
K11380	0.303571	0.297101	0.295193	0.665629	0.847976
K11381	0.629629	0.757608	0.779310	0.479253	0.312412
K10706	15.819422	33.988375	18.030400	14.936724	22.515989
K10380	10.557525	9.239847	13.354540	10.969573	15.955334
K10389	6.487425	22.059762	9.776799	9.052560	12.496486
K10388	0.022487	0.014855	0.094462	0.079876	0.066945
K04037	36.619656	20.693097	22.895184	27.530432	71.408489
K04035	1.416665	0.267391	0.814733	0.958506	0.401673
K04038	0.764549	1.322100	1.475966	0.639004	0.892606
K04039	1.956346	2.243114	2.196237	1.570885	1.785212
K07046	8.443771	7.932601	6.706789	5.032158	6.292873
K07047	0.685846	1.218115	1.983698	1.677386	1.874473
K07044	0.011243	0.000000	0.011808	0.053250	0.000000
K07045	0.123677	0.089130	0.118077	0.026625	0.111576
K07042	0.157407	0.267391	0.342424	0.186376	0.468618
K07043	0.011243	0.014855	0.118077	0.000000	0.022315
K07040	0.022487	0.014855	0.035423	0.000000	0.000000
K07041	0.000000	0.014855	0.011808	0.000000	0.022315
K07048	0.157407	0.237681	0.212539	0.159751	0.267782
K00024	26.253269	32.874245	31.302286	13.552215	26.621977
K15607	0.000000	0.014855	0.000000	0.026625	0.000000
K04788	0.562169	1.114129	2.019121	2.635892	2.722449
K04789	0.629629	0.594202	1.074503	0.426003	0.647139
K15601	0.764549	1.960868	2.219853	1.357884	3.079491
K04780	1.753966	1.470651	1.664890	1.384509	2.164570
K15609	0.078704	0.000000	0.023615	0.000000	0.022315
K07697	0.213624	0.133696	0.224347	0.346127	0.089261
K13600	0.359788	0.133696	0.177116	0.133126	0.312412
K18163	2.417325	1.842027	3.518703	2.502767	4.217564
K18162	3.822746	13.473538	15.881394	10.490319	13.634558
K18164	1.495368	2.347099	3.400626	3.115146	4.128303
K13606	15.335957	10.146005	12.527999	27.210930	13.478352
K18168	0.022487	0.014855	0.023615	0.079876	0.044630
K15463	4.823406	3.713765	4.959246	4.552905	6.114352
K15461	0.000000	0.000000	0.035423	0.000000	0.066945
K15460	0.112434	0.000000	0.271578	0.106501	0.022315
K15468	0.112434	0.059420	0.188924	0.053250	0.178521
K05782	0.000000	0.000000	0.000000	0.000000	0.022315
K05780	0.000000	0.014855	0.047231	0.000000	0.000000
K05787	0.000000	0.000000	0.011808	0.000000	0.000000
