RI1070,C03979
RI1071,C04074
RI1072,C04106
RI1073,C04145
RI1074,C04165
RI1075,C04181
RI1076,C04303
RI1077,C04378
RI1078,C04411
RI1079,C04411
RI1080,C04480
RI1081,C04484
RI1082,C04547
RI1083,C04553
RI1084,C04575
RI1085,C04586
RI1086,C04587
RI1087,C04617
RI1088,C04643
RI1089,C04707
RI1090,C04719
RI1091,C04741
RI1092,C04741
RI1093,C04741
RI1094,C04758
RI1095,C04835
RI1096,C04843
RI1097,C04843
RI1098,C04843
RI1099,C04873
RI1100,C04873
RI1101,C05003
RI1102,C05122
RI1103,C05375
RI1104,C05406
RI1105,C05422
RI1106,C05463
RI1107,C05465
RI1108,C05585
RI1109,C05672
RI1110,C05795
RI1111,C05817
RI1112,C05840
RI1113,C05959
RI1114,C05959
RI1115,C05959
RI1116,C05961
RI1117,C05963
RI1118,C05994
RI1119,C05994
RI1120,C06008
RI1121,C06010
RI1122,C06030
RI1123,C06069
RI1124,C06088
RI1125,C06088
RI1126,C06102
RI1127,C06152
RI1128,C06153
RI1129,C06158
RI1130,C06158
RI1131,C06159
RI1132,C06159
RI1133,C06162
RI1134,C06202
RI1135,C06316
RI1136,C06336
RI1137,C06337
RI1138,C06438
RI1139,C06438
RI1140,C06438
RI1141,C06439
RI1142,C06447
RI1143,C06464
RI1144,C06465
RI1145,C06466
RI1146,C06467
RI1147,C06468
RI1148,C06474
RI1149,C06474
RI1150,C06475
RI1151,C06478
RI1152,C06478
RI1153,C06485
RI1154,C06485
RI1155,C06494
RI1156,C06494
RI1157,C06579
RI1158,C06674
RI1159,C06677
RI1160,C06680
RI1161,C06782
RI1162,C06806
RI1163,C06812
RI1164,C06843
RI1165,C06856
RI1166,C07063
RI1167,C07063
RI1168,C07119
RI1169,C07178
RI1170,C07261
RI1171,C07310
RI1172,C07320
RI1173,C07405
RI1174,C07468
RI1175,C07582
RI1176,C07599
RI1177,C07610
RI1178,C07699
RI1179,C07805
RI1180,C07874
RI1181,C07921
RI1182,C08151
RI1183,C08158
RI1184,C08234
RI1185,C08237
RI1186,C08261
RI1187,C08278
RI1188,C08285
RI1189,C08318
RI1190,C08351
RI1191,C08356
RI1192,C08362
RI1193,C08368
RI1194,C08489
RI1195,C08498
RI1196,C08546
RI1197,C08548
RI1198,C08620
RI1199,C08709
RI1200,C08713
RI1201,C08717
RI1202,C08725
RI1203,C08756
RI1204,C08757
RI1205,C08798
RI1206,C08803
RI1207,C08807
RI1208,C08947
RI1209,C08950
RI1210,C08955
RI1211,C08968
RI1212,C08976
RI1213,C09000
RI1214,C09013
RI1215,C09014
RI1216,C09018
RI1217,C09046
RI1218,C09052
RI1219,C09103
RI1220,C09103
RI1221,C09198
RI1222,C09204
RI1223,C09205
RI1224,C09205
RI1225,C09247
RI1226,C09249
RI1227,C09265
RI1228,C09287
RI1229,C09292
RI1230,C09299
RI1231,C09299
RI1232,C09300
RI1233,C09308
RI1234,C09344
RI1235,C09344
RI1236,C09362
RI1237,C09374
RI1238,C09374
RI1239,C09392
RI1240,C09394
RI1241,C09396
RI1242,C09396
RI1243,C09431
RI1244,C09431
RI1245,C09433
RI1246,C09449
RI1247,C09450
RI1248,C09450
RI1249,C09452
RI1250,C09455
RI1251,C09455
RI1252,C09472
RI1253,C09472
RI1254,C09473
RI1255,C09473
RI1256,C09476
RI1257,C09487
RI1258,C09487
RI1259,C09489
RI1260,C09494
RI1261,C09494
RI1262,C09495
RI1263,C09497
RI1264,C09497
RI1265,C09499
RI1266,C09499
RI1267,C09504
RI1268,C09504
RI1269,C09508
RI1270,C09508
RI1271,C09509
RI1272,C09513
RI1273,C09514
RI1274,C09517
RI1275,C09518
RI1276,C09522
RI1277,C09522
RI1278,C09523
RI1279,C09523
RI1280,C09536
RI1281,C09536
RI1282,C09545
RI1283,C09552
RI1284,C09552
RI1285,C09557
RI1286,C09557
RI1287,C09582
RI1288,C09584
RI1289,C09586
RI1290,C09587
RI1291,C09587
RI1292,C09601
RI1293,C09602
RI1294,C09602
RI1295,C09603
RI1296,C09603
RI1297,C09605
RI1298,C09606
RI1299,C09644
RI1300,C09674
RI1301,C09674
RI1302,C09674
RI1303,C09680
RI1304,C09685
RI1305,C09701
RI1306,C09701
RI1307,C09776
RI1308,C09780
RI1309,C09785
RI1310,C09786
RI1311,C09801
RI1312,C09804
RI1313,C09836
RI1314,C09842
RI1315,C09853
RI1316,C09854
RI1317,C09894
RI1318,C09923
RI1319,C09926
RI1320,C09928
RI1321,C09944
RI1322,C09981
RI1323,C09995
RI1324,C10099
RI1325,C10103
RI1326,C10178
RI1327,C10207
RI1328,C10223
RI1329,C10233
RI1330,C10298
RI1331,C10340
RI1332,C10349
RI1333,C10372
RI1334,C10388
RI1335,C10439
RI1336,C10460
RI1337,C10473
RI1338,C10486
RI1339,C10498
RI1340,C10540
RI1341,C10547
RI1342,C10553
RI1343,C10554
RI1344,C10556
RI1345,C10561
RI1346,C10588
RI1347,C10617
RI1348,C10627
RI1349,C10637
RI1350,C10638
RI1351,C10639
RI1352,C10646
RI1353,C10667
RI1354,C10669
RI1355,C10672
RI1356,C10672
RI1357,C10693
RI1358,C10704
RI1359,C10704
RI1360,C10729
RI1361,C10730
RI1362,C10746
RI1363,C10746
RI1364,C10832
RI1365,C10879
RI1366,C10882
RI1367,C10892
RI1368,C10900
RI1369,C10906
RI1370,C10937
RI1371,C11066
RI1372,C11101
RI1373,C11134
RI1374,C11312
RI1375,C11402
RI1376,C11403
RI1377,C11414
RI1378,C11418
RI1379,C11434
RI1380,C11592
RI1381,C11592
RI1382,C11611
RI1383,C11636
RI1384,C11638
RI1385,C11649
RI1386,C11651
RI1387,C11652
RI1388,C11652
RI1389,C11653
RI1390,C11653
RI1391,C11696
RI1392,C11715
RI1393,C11820
RI1394,C11838
RI1395,C11861
RI1396,C11899
RI1397,C11913
RI1398,C11917
RI1399,C11918
RI1400,C11937
RI1401,C11943
RI1402,C11944
RI1403,C11957
RI1404,C11957
RI1405,C11957
RI1406,C11969
RI1407,C11974
RI1408,C11990
RI1409,C11993
RI1410,C12021
RI1411,C12056
RI1412,C12105
RI1413,C12113
RI1414,C12140
RI1415,C12140
RI1416,C12140
RI1417,C12183
RI1418,C12219
RI1419,C12228
RI1420,C12229
RI1421,C12230
RI1422,C12231
RI1423,C12263
RI1424,C12308
RI1425,C12314
RI1426,C12325
RI1427,C12366
RI1428,C12403
RI1429,C12407
RI1430,C12414
RI1431,C12600
RI1432,C12646
RI1433,C12724
RI1434,C13077
RI1435,C13127
RI1436,C13634
RI1437,C13740
RI1438,C13741
RI1439,C13778
RI1440,C13790
RI1441,C13802
RI1442,C13809
RI1443,C13809
RI1444,C13809
RI1445,C13820
RI1446,C14096
RI1447,C14097
RI1448,C14100
RI1449,C14161
RI1450,C14262
RI1451,C14289
RI1452,C14305
RI1453,C14334
RI1454,C14382
RI1455,C14418
RI1456,C14483
RI1457,C14502
RI1458,C14530
RI1459,C14570
RI1460,C14643
