gID	S1	S2	S3	S4	S5
K07713	0.000000	0.014855	0.000000	0.000000	0.022315
K07710	0.022487	0.000000	0.047231	0.053250	0.022315
K00843	0.157407	0.014855	0.047231	0.079876	0.022315
K00847	2.372351	1.946013	4.298013	2.289765	2.744764
K00846	0.539682	1.054709	1.039080	0.905256	1.249649
K00845	3.766529	2.941302	7.521523	2.928769	6.493710
K00844	0.000000	0.014855	0.011808	0.026625	0.000000
K00849	1.933860	1.827172	3.247125	2.263140	2.231515
K00848	0.000000	0.000000	0.000000	0.000000	0.000000
K15734	0.393518	0.193116	1.357889	1.091632	1.205018
K15732	0.449735	0.356521	1.074503	0.905256	1.450485
K15731	1.866399	2.198549	3.093625	1.677386	1.785212
K15730	1.360448	1.693477	4.557783	1.491010	3.436534
K15738	0.337301	0.326811	0.236155	0.346127	0.267782
K15223	0.685846	0.609057	1.594043	1.437760	1.673636
K15224	0.056217	0.044565	0.118077	0.186376	0.223152
K15227	0.505952	0.519927	1.428735	0.772130	0.714085
K04983	0.101190	0.103985	0.094462	0.079876	0.156206
K18051	0.067460	0.059420	0.011808	0.000000	0.000000
K18050	0.044973	0.014855	0.106270	0.026625	0.044630
K17743	0.820766	0.921014	2.172622	0.639004	1.584376
K18055	1.619045	1.351810	1.889236	0.825380	1.606691
K18059	7.139540	7.694920	14.629775	7.321923	9.216158
K04986	3.766529	5.021010	16.885051	6.416667	11.893977
K08285	0.584655	0.817028	1.168965	0.878631	1.740582
K02992	4.463618	9.700353	7.226329	4.393154	6.895382
K02991	106.137414	146.396605	133.202976	123.940195	120.055523
K02622	1.439151	0.802173	1.700313	0.772130	0.803346
K02997	110.297461	142.192623	116.790235	69.305333	113.182456
K02996	4.890866	5.615212	7.072829	2.662518	7.364000
K02995	82.548823	101.816573	129.046656	100.589915	107.157364
K08282	0.191137	0.222826	0.307001	0.213001	0.156206
K02999	3.654095	2.881881	6.163634	4.047027	4.552291
K02998	69.214186	97.835417	99.338413	59.187767	82.566066
K08289	0.000000	0.000000	0.011808	0.000000	0.022315
K08288	5.914013	7.308689	13.980350	6.576419	12.340280
K03578	0.697089	0.549637	0.779310	0.452628	0.334727
K03579	1.034390	1.188405	3.506895	1.650761	2.365406
K03574	0.303571	0.282246	1.298850	0.346127	0.490933
K03575	0.787036	0.519927	1.074503	0.985132	0.959552
K03572	0.033730	0.000000	0.023615	0.026625	0.022315
K01710	2.068780	2.302534	6.765828	2.902144	4.931649
K04371	14.841249	16.102884	30.829977	15.495853	21.288656
K01712	0.168651	0.311956	0.425078	0.718880	0.223152
K01714	3.103170	3.639489	6.647751	4.020402	4.909334
K01715	0.101190	0.044565	1.334273	0.718880	0.758715
K15707	0.033730	0.029710	0.047231	0.053250	0.044630
K01719	0.314814	0.282246	0.354232	0.239627	0.557879
K15704	1.056877	2.763041	2.054545	1.118257	0.803346
K09529	2.451055	1.931158	3.329779	2.209890	2.655503
K09528	1.933860	2.183694	3.884742	2.050139	3.079491
K09527	4.148804	3.862315	7.509715	5.511411	7.453261
K09526	0.247354	0.000000	0.082654	0.000000	0.089261
K09525	1.056877	0.772463	3.884742	1.331259	0.959552
K09524	0.685846	0.311956	0.436886	0.266252	0.245467
K09523	2.046293	2.406520	4.923822	1.863762	3.994412
K09522	6.026446	6.447096	11.288188	7.082297	8.948376
K09521	0.067460	0.014855	0.106270	0.159751	0.044630
K09520	0.112434	0.178261	0.035423	0.053250	0.066945
K02199	0.033730	0.029710	0.047231	0.026625	0.044630
K02198	0.011243	0.000000	0.047231	0.000000	0.022315
K14172	0.033730	0.000000	0.000000	0.000000	0.022315
K14170	0.168651	0.029710	0.070846	0.079876	0.044630
K08138	0.089947	0.252536	1.133542	0.213001	0.468618
K08137	0.674602	0.713043	0.554963	0.878631	0.624824
K08136	0.022487	0.044565	0.035423	0.026625	0.066945
K08134	0.000000	0.029710	0.047231	0.026625	0.000000
K08133	0.033730	0.044565	0.106270	0.106501	0.044630
K08132	0.168651	0.089130	0.366040	0.239627	0.223152
K08131	0.000000	0.014855	0.011808	0.026625	0.000000
K13195	0.359788	0.326811	0.696656	0.426003	0.446303
K13194	0.022487	0.059420	0.023615	0.000000	0.044630
K13197	0.697089	0.341666	0.436886	0.319502	0.602509
K13196	0.011243	0.014855	0.035423	0.026625	0.044630
K03710	0.000000	0.014855	0.000000	0.000000	0.022315
K03711	0.000000	0.029710	0.023615	0.000000	0.022315
K13199	0.123677	0.267391	0.283385	0.159751	0.647139
K03717	0.033730	0.059420	0.023615	0.000000	0.066945
K03714	0.022487	0.029710	0.082654	0.000000	0.044630
K03715	1.382935	1.827172	4.864784	2.715768	3.704315
K09422	2.248674	4.590213	4.888399	3.381397	4.485346
K09423	0.000000	0.000000	0.059039	0.026625	0.044630
K09420	0.269841	0.193116	0.543155	0.426003	0.290097
K00045	0.393518	0.609057	2.160814	0.825380	1.673636
K09428	0.000000	0.014855	0.000000	0.000000	0.022315
K17679	0.337301	0.415942	0.578579	0.532504	0.714085
K12828	12.401437	12.032598	19.600828	7.481674	15.241249
K12829	9.219563	12.478249	20.120368	8.493431	20.462995
K12826	3.676582	4.961590	5.278054	2.795643	3.235697
K17675	0.371031	0.549637	0.590386	0.319502	0.758715
