RInumber,cNumber,ChargedMass,RT,ionMode,S1,S2,S3,S4,S5
RI2345,C15368,351.252986028091,1479.82529999998,positive,0.000358263933888643,0.00217773133216226,0.00456374892773331,0.000456456666250857,0.00022720337177524
RI2346,C15403,351.252986028091,1479.82529999998,positive,0.000358263933888643,0.00217773133216226,0.00456374892773331,0.000456456666250857,0.00022720337177524
RI2347,C17496,351.252986028091,1479.82529999998,positive,0.000358263933888643,0.00217773133216226,0.00456374892773331,0.000456456666250857,0.00022720337177524
RI2348,C00427,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2349,C00584,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2350,C00696,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2351,C01312,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2352,C02198,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2353,C04654,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2354,C04671,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2355,C04853,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2356,C05960,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2357,C06314,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2358,C06315,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2359,C06476,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2360,C11997,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
RI2361,C13807,353.232250586091,992.417,positive,0.00934327945221538,0.0168749154759802,9.37615886114202e-05,0.00043150161186931,0.000540145156261071
